//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
0
//Season 1+
0	1	0	1	2	1	15	1	"Kris"			126	0		0		1			20	0	0	1	0		1	1	1	1	1	1	1	1
1	1	0	1	3	1	15	1	"Short Sword"		123	0		1		1			22	0	0	1	0		1	1	1	1	1	1	1	1
2	1	0	1	3	1	15	1	"Rapier"		129	0		1		1			23	0	0	1	0		0	1	1	1	1	1	0	1
3	1	20	1	3	1	15	1	"Katana"		136	0		1		1			27	0	0	1	0		0	1	0	1	1	0	0	0
4	1	21	1	3	1	15	1	"Sword of Assassin"	142	0		1		1			24	0	0	1	0		0	1	0	1	1	0	0	0
5	1	22	1	3	1	15	1	"Blade"			146	0		1		1			39	0	0	1	0		1	1	1	1	1	0	0	0
6	1	20	1	3	1	15	1	"Gladius"		152	0		1		1			30	0	0	1	0		0	1	1	1	1	0	0	0
7	1	21	1	3	1	15	1	"Falchion"		156	0		1		1			34	0	0	1	0		0	1	0	1	1	0	0	0
8	1	21	1	3	1	15	1	"Serpent Sword"		158	0		1		1			36	0	0	1	0		0	1	0	1	1	0	0	0
9	1	20	2	3	1	15	1	"Sword of Salamander"	161	0		1		1			40	0	0	1	0		0	1	0	1	0	0	0	0
10	1	22	2	4	1	15	1	"Light Saber"		163	0		1		1			50	0	0	1	0		0	1	1	1	0	0	0	0
11	1	20	2	3	1	15	1	"Legendary Sword"	165	0		1		1			54	0	0	1	0		0	1	0	1	0	0	0	0
12	1	19	2	3	1	15	1	"Heliacal Sword"	166	0		1		1			66	0	0	1	0		0	1	0	1	0	0	0	0
13	1	22	1	3	1	15	1	"Double Blade"		169	0		1		1			43	0	0	1	0		0	1	1	1	0	0	0	0
14	1	22	1	3	1	15	1	"Lighting Sword"	171	0		1		1			50	0	0	1	0		0	1	1	1	0	0	0	0
15	1	23	2	3	1	15	1	"Giant Sword"		172	0		1		1			60	0	0	1	0		0	1	0	1	0	0	0	0
16	1	22	1	4	1	15	1	"Sword of Destruction"	174	0		1		1			84	0	0	1	0		0	1	0	1	0	0	0	0
17	1	23	2	4	1	15	1	"Dark Breaker"		174	0		1		1			89	0	0	1	0		0	2	0	0	0	0	0	0
18	1	23	2	3	1	15	1	"Thunder Blade"		175	0		1		1			86	0	0	1	0		0	0	0	1	0	0	0	0
19	1	22	1	4	1	15	1	"Divine Sword of AA"	586	0		1		1			168	0	0	1	0		0	1	0	1	1	0	0	0
20	1	22	1	4	1	15	1	"Knight Blade"		140	0		1		1			90	0	0	1	0		0	2	0	0	0	0	0	0
21	1	56	2	4	1	15	1	"Dark Reign Blade"	140	0		1		1			100	0	0	1	0		0	0	0	1	0	0	0	0
//Season 3+
22	1	22	1	4	1	15	1	"Bone Blade"		347	0		1		1			95	1	0	1	380		0	2	0	0	0	0	0	0
23	1	56	2	4	1	15	1	"Explosion Blade"	347	0		1		1			110	1	0	1	380		0	0	0	1	0	0	0	0
24	1	22	1	4	1	15	1	"Daybreak"		315	0		1		1			90	0	0	1	0		0	2	0	0	0	0	0	0
25	1	56	2	4	1	15	1	"Sword Dancer"		315	0		1		1			90	0	0	1	0		0	0	0	1	0	0	0	0
31	1	56	2	4	1	15	1	"Rune Blade"		300	0		1		1			93	0	0	1	0		0	0	0	1	0	0	0	0
//Season 4+
